@relation ElectionsData

@attribute 'Vote' {"Yellows", "Reds", "Whites", "Blues", "Oranges", "Greens", "Greys", "Browns", "Pinks", "Purples"}
@attribute 'Occupation_Satisfaction' NUMERIC
@attribute 'Avg_monthly_expense_when_under_age_21' NUMERIC
@attribute 'AVG_lottary_expanses' NUMERIC
@attribute 'Most_Important_Issue' {"Education", "Foreign_Affairs", "Financial", "Healthcare", "Environment", "Military", "Social", "Other"}
@attribute 'Avg_Residancy_Altitude' NUMERIC
@attribute 'Looking_at_poles_results' {"Yes", "No"}
@attribute 'Yearly_ExpensesK' NUMERIC
@attribute 'Married' {"Yes", "No"}
@attribute 'Gender' {"Male", "Female"}
@attribute 'Voting_Time' {"By_16:00", "After_16:00"}
@attribute 'Financial_balance_score_(0-1)' NUMERIC
@attribute '%Of_Household_Income' NUMERIC
@attribute 'Avg_government_satisfaction' NUMERIC
@attribute 'Avg_education_importance' NUMERIC
@attribute 'Avg_environmental_importance' NUMERIC
@attribute 'Avg_Satisfaction_with_previous_vote' NUMERIC
@attribute 'Avg_monthly_income_all_years' NUMERIC
@attribute '%Time_invested_in_work' NUMERIC
@attribute 'Yearly_IncomeK' NUMERIC
@attribute 'Avg_monthly_expense_on_pets_or_plants' NUMERIC
@attribute 'Avg_monthly_household_cost' NUMERIC
@attribute 'Will_vote_only_large_party' {"Yes", "No"}
@attribute 'Phone_minutes_10_years' NUMERIC
@attribute 'Avg_size_per_room' NUMERIC
@attribute 'Weighted_education_rank' NUMERIC
@attribute '%_satisfaction_financial_policy' NUMERIC
@attribute 'Garden_sqr_meter_per_person_in_residancy_area' NUMERIC
@attribute 'Last_school_grades' NUMERIC
@attribute 'Age_group' {"Below_30", "30-45", "45_and_up"}
@attribute 'Number_of_differnt_parties_voted_for' NUMERIC
@attribute 'Political_interest_Total_Score' NUMERIC
@attribute 'Number_of_valued_Kneset_members' NUMERIC
@attribute 'Main_transportation' {"Motorcycle_or_truck", "Car", "Public_or_other", "Foot_or_bicycle"}
@attribute 'Occupation' {"Industry_or_other", "Public_Sector", "Hightech", "Student_or_Unemployed", "Services_or_Retail"}
@attribute 'Overall_happiness_score' NUMERIC
@attribute 'Num_of_kids_born_last_10_years' NUMERIC
@attribute 'Financial_agenda_matters' {"Yes", "No"}
@data
"Yellows",9,901.07424871476,174664.625236933,"Education",300.35808290492,"No",581.5213079923140,"No","Male","After_16:00",0.920726605225354,0.100483536021784,4.36548330821097,2.16179773909971,5.96221784362569,6.10621832543984,9204,53.9816523203626,622.909383841589,7061.03184760632,80356.4657209084,"Yes",338167.031649092,24.9581526528225,777521.020210665,43.5188635485247,90525.3360492238,100,"45_and_up",1,1067.41954968518,14,"Motorcycle_or_truck","Industry_or_other",897.297946857042,0,"No"
"Reds",4,172.175469515668,23146.72829332,"Education",57.3918231718893,"No",403.310559136539,"Yes","Female","By_16:00",0.502450686879456,0.540302488487214,3.04695728002116,6.44705581245944,1.48642418207601,6.70615546638146,6238,63.8991597341374,710.857599930606,5454.8207912266,83550.4594963726,"Yes",162659.407111027,26.6619129083156,1011912.3467085,45.259921788238,3361.2131901653,100,"30-45",0,1111.09359142952,10,"Public_or_other","Industry_or_other",861.981391156649,0,"No"
"Whites",3,408.262789256427,97198.9457592741,"Foreign_Affairs",136.087596418809,"No",714.238096028566,"No","Male","By_16:00",0.899024648591876,0.0533322812989354,4.17873752070591,1.76175351720303,3.05945344036445,9.38390219351277,3912,29.6265936456621,865.494572107549,8873.37010450076,100227.594706828,"Yes",510136.057818512,29.4192891162847,1499705.33728284,25.6124072009698,18665.9214954675,40,"30-45",1,1260.06417027657,20,"Public_or_other","Public_Sector",819.390491553841,1,"Yes"
"Blues",4,401.755874458558,52952.486969708,"Financial",133.918624819519,"No",395.407935536013,"Yes","Male","By_16:00",0.778608459746465,0.845698333345354,3.21868825238198,4.67722523957491,3.42724143760279,0.746177749242634,4040,48.2218501856551,562.297359762811,5078.67407488575,65151.4824470828,"Yes",156347.435484852,23.7128100351437,633346.647735032,39.3066871445626,18078.1166983707,60,"30-45",3,837.90752086069,5,"Car","Industry_or_other",584.598207041118,1,"No"
"Blues",5,210.935360674216,29798.2700859421,"Healthcare",70.3117868914053,"No",423.801917194407,"Yes","Female","By_16:00",0.278860982507467,0.654061096953228,3.45470827771351,0.886536333709955,1.98461376130581,1.85817207442597,9276,78.7408525357023,577.02805580094,5392.07528354595,67056.6176129975,"Yes",179608.065017655,24.0214082809676,666951.762391177,17.3784118844196,5024.0591627538,80,"30-45",2,859.308497518926,4,"Motorcycle_or_truck","Services_or_Retail",595.206111157278,1,"No"
"Yellows",1,245.727791073592,34939.7418425868,"Financial",81.9092636911974,"No",426.566425676974,"Yes","Female","After_16:00",0.956243385095149,0.698686145944521,0.175240505486727,6.28746282542124,3.88628201559186,8.2376645016484,4742,37.6313236542046,520.626096988183,5306.91645074611,61232.1045083526,"Yes",181958.915514829,22.8172324568117,543075.735960879,3.32510520238429,6801.0367421253,60,"Below_30",3,779.272032309005,1,"Car","Hightech",536.103804903885,0,"No"
"Oranges",3,176.199131672544,20881.6811225061,"Education",58.733043890848,"No",355.535482909987,"Yes","Male","By_16:00",0.216134105809033,0.425944988848642,9.58090281579643,6.75496610580012,6.26217074226588,1.59365093801171,9754,16.7577086249366,531.117151548988,4617.58913219784,65271.7244763766,"Yes",126405.479608037,23.0459790755131,565264.14278467,64.0670569846407,3518.30348857512,100,"45_and_up",1,877.433966054386,18,"Public_or_other","Services_or_Retail",727.749962738597,0,"No"
"Greys",4,658.354758990143,148173.767645106,"Financial",219.451586330048,"No",675.200257710861,"No","Female","By_16:00",0.975477055413648,0.0666261599399149,0.334809832274914,4.53470560023561,5.81574548501521,0.664622657932341,5166,50.7949577411637,614.771717398375,7981.54601190537,75803.3042834089,"Yes",455895.388012814,24.7945904866036,757232.127653627,32.6458658324555,48388.4503291044,60,"Below_30",0,950.013756439499,10,"Foot_or_bicycle","Industry_or_other",658.398370019749,5,"No"
"Browns",8,1207.00051181783,152141.832726569,"Financial",402.333503939275,"Yes",378.148553965647,"Yes","Male","After_16:00",0.789854403119534,0.0376500010024756,3.16837806487456,9.57999746315181,2.5973165454343,9.78573188185692,7634,55.8714031940326,790.938181243742,5363.36190214395,89437.0825147345,"No",142996.32886631,28.1236231884112,1252412.5400261,94.8719603009522,162284.581895994,60,"Below_30",5,1178.64840542504,15,"Motorcycle_or_truck","Industry_or_other",857.978373818221,2,"No"
"Blues",8,705.293704730064,145221.386550528,"Education",235.097901576688,"No",617.706009184253,"No","Female","After_16:00",0.55439089378342,0.0688898584339768,7.52933117095381,4.66667683329433,9.17021264089271,2.40813768468797,6543,16.8135870713741,673.995403873868,7525.05089959027,80049.9005580928,"Yes",381560.713782337,25.9614214532615,909846.848203731,73.5821741167456,55516.1212273388,100,"45_and_up",2,1008.13311857993,18,"Car","Industry_or_other",679.533308350046,1,"No"
